Date,RF,RM_RF,SMB,MOM,SMALL LoPRIOR_RF,ME1_PRIOR2_RF,SMALL_HiPRIOR_RF,BIG_LoPRIOR_RF,ME2_PRIOR2_RF,BIG_HiPRIOR_RF,25_SMALL LoPRIOR_RF,25_ME1 PRIOR2_RF,25_ME1 PRIOR3_RF,25_ME1 PRIOR4_RF,25_SMALL HiPRIOR_RF,25_ME2 PRIOR1_RF,25_ME2 PRIOR2_RF,25_ME2 PRIOR3_RF,25_ME2 PRIOR4_RF,25_ME2 PRIOR5_RF,25_ME3 PRIOR1_RF,25_ME3 PRIOR2_RF,25_ME3 PRIOR3_RF,25_ME3 PRIOR4_RF,25_ME3 PRIOR5_RF,25_ME4 PRIOR1_RF,25_ME4 PRIOR2_RF,25_ME4 PRIOR3_RF,25_ME4 PRIOR4_RF,25_ME4 PRIOR5_RF,25_BIG LoPRIOR_RF,25_ME5 PRIOR2_RF,25_ME5 PRIOR3_RF,25_ME5 PRIOR4_RF,25_BIG HiPRIOR_RF
200907,0.01,7.741584662600824,2.513333333333332,-5.545000000000002,14.3,10.17,8.02,10.950000000000001,7.86,6.140000000000001,12.35,13.37,9.61,7.66,7.93,18.35,11.44,11.2,7.49,7.22,14.78,13.84,8.84,9.22,7.61,11.41,10.04,10.85,6.88,5.75,11.83,10.48,7.74,6.37,6.24
200908,0.01,3.341631393019499,0.25333333333333385,-9.1,11.31,3.5900000000000003,-0.31,8.51,3.39,1.93,17.82,5.19,3.65,-0.72,-0.01,16.38,4.16,3.13,0.39,0.03,16.44,5.09,3.17,1.8,0.93,13.14,5.94,4.2,2.2,2.13,10.72,4.77,3.15,2.38,1.66
200909,0.01,4.071808129469558,2.496666666666668,-4.870000000000001,10.790000000000001,5.640000000000001,4.84,7.0,3.5700000000000003,3.2100000000000004,11.54,6.66,6.46,5.2,4.1,13.37,7.69,4.19,5.23,5.64,12.03,7.92,6.79,5.36,4.6,13.45,7.73,4.27,4.52,4.72,7.15,4.12,4.51,2.44,3.4
200910,0.0,-2.509785467474231,-4.163333333333332,2.5,-7.87,-5.66,-8.37,-6.89,-1.13,-1.39,-9.33,-6.38,-6.67,-5.82,-10.07,-7.79,-6.02,-6.87,-5.01,-8.46,-11.13,-3.81,-3.82,-6.74,-7.77,-9.59,-2.78,-2.99,-3.8,-4.69,-9.27,-1.65,-0.98,-0.78,-0.33
200911,0.0,5.640245178636499,-3.4033333333333333,0.39000000000000057,2.14,2.17,3.34,6.29,5.7,5.87,-0.23,0.49,2.26,1.58,2.79,2.96,2.14,2.57,1.0,4.01,2.58,3.41,3.72,5.33,5.43,5.73,5.01,4.11,3.23,5.1,7.37,6.16,5.62,5.47,6.79
200912,0.01,2.7811656754751306,5.923333333333333,2.995000000000001,8.52,7.3,9.540000000000001,-0.48,3.58,4.49,8.34,7.1,6.69,8.39,7.99,7.17,9.38,7.76,10.13,10.74,9.22,5.92,7.14,7.91,8.27,5.3,3.83,5.45,6.19,8.56,-2.75,1.91,3.41,3.27,3.4
201001,0.0,-3.279929413294815,0.6433333333333335,-5.33,-0.7,-3.48,-4.49,-0.22,-3.29,-7.09,-0.92,-4.04,-1.04,-2.69,-3.61,0.93,-3.4,-2.71,-3.49,-4.64,-1.49,-1.6,-3.49,-4.81,-5.07,-0.36,-1.96,-2.06,-4.61,-5.33,-0.62,-0.9,-3.29,-5.9,-8.71
201002,0.0,3.389581586263005,1.083333333333333,3.6900000000000004,3.06,4.12,6.57,1.54,3.55,5.41,2.35,3.77,3.29,5.31,8.03,2.76,3.68,4.77,3.71,6.09,3.45,3.13,4.85,5.09,7.59,2.23,3.59,6.06,5.37,8.98,1.19,1.37,3.59,4.69,5.88
201003,0.01,6.297520162190904,1.466666666666666,3.5699999999999985,8.31,7.55,9.36,4.44,5.8500000000000005,10.53,7.95,7.19,10.18,7.4,9.2,9.01,6.81,7.84,8.83,10.5,9.04,7.41,7.26,7.74,8.83,6.55,4.64,8.09,7.39,8.69,4.02,4.49,4.74,10.64,9.81
201004,0.01,2.0019837250468084,4.386666666666667,3.165,5.78,5.88,8.26,1.03,0.85,4.88,7.82,7.52,6.4,7.38,12.41,5.48,4.28,5.24,6.15,8.46,3.76,4.11,4.12,7.2,4.7,3.37,3.79,4.17,4.58,5.42,-0.46,0.48,0.84,4.27,2.82
